pass_product_name,pass_product_season,resort_name,resort_group_name,access_tier,access_days,unlimited_access,reservation_required,blackout_dates_apply,notes,source_url
Epic Pass,2026-2027,,Hakuba Valley,full_pass,5,false,false,false,Official Epic Hakuba page states Epic Pass holders receive 5 consecutive days with no restricted dates to use at any of Hakuba Valley’s 10 ski resorts; ticket-window validation required.,https://www.epicpass.com/regions/japan/hakuba-valley.aspx
Epic Pass,2026-2027,,Les 3 Vallées,full_pass,7,false,false,false,"Official Epic Europe page states Epic Pass includes 7 consecutive days at Les 3 Vallées, France.",https://www.epicpass.com/regions/europe/france/les-3-vallees.aspx
Epic Pass,2026-2027,,Resorts of the Canadian Rockies,full_pass,7,false,false,false,Official Epic RCR page states Epic Pass holders receive up to 7 total days across the six Resorts of the Canadian Rockies; no lodging requirement; physical pass card allows direct-to-lift access.,https://www.epicpass.com/regions/canada/rcr.aspx
Epic Pass,2026-2027,,Saalbach & Zell am See-Kaprun,full_pass,5,false,false,false,Official Epic partner page states Epic Pass includes 5 days across Skicircus Saalbach Hinterglemm Leogang Fieberbrunn and Kitzsteinhorn/Zell am See-Kaprun.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,,Ski Arlberg,full_pass,3,false,false,false,Official Epic partner page states Epic Pass holders receive 3 consecutive days at Arlberg ski resorts when staying minimum consecutive nights at participating lodging booked directly through lodging partners.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,,Skirama Dolomiti,full_pass,7,false,false,false,"Official Epic Europe page states Epic Pass includes 7 consecutive days at Skirama Dolomiti, Italy; member list is a practical decomposition of the Skirama ski areas and should be rechecked against final Epic redemption terms.",https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,,Verbier 4 Vallées,full_pass,5,false,false,false,Official Epic partner page states Epic Pass holders receive five consecutive days of unrestricted access to Verbier 4 Vallées.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,,Whistler Blackcomb,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at Whistler Blackcomb; group target avoids duplicating access across Whistler and Blackcomb physical mountain rows.,https://www.epicpass.com/regions.aspx
Epic Pass,2026-2027,,Zillertal,full_pass,5,false,false,false,Official Epic partner page states Epic Pass includes 5 consecutive days across Zillertal resorts in Austria; 2026/27 source notes expansion beyond Mayrhofen/Hintertux.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,Afton Alps,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Alpine Valley (OH),,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Andermatt-Sedrun-Disentis,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this European Epic destination; official Epic Europe page identifies unlimited access for Epic Pass holders. Ticket-window/media-card procedures may apply.,https://www.epicpass.com/regions/europe.aspx
Epic Pass,2026-2027,Attitash Mountain,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Beaver Creek,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Big Boulder,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Boston Mills,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Brandywine,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Breckenridge,,full_pass,,true,false,false,Epic Pass lists Breckenridge among unlimited-access resorts for the 2026-2027 season; Epic Pass itself has no restricted peak dates.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Crans-Montana,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this European Epic destination; official Epic Europe page identifies unlimited access for Epic Pass holders. Ticket-window/media-card procedures may apply.,https://www.epicpass.com/regions/europe.aspx
Epic Pass,2026-2027,Crested Butte,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Crotched Mountain,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Falls Creek,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Australian Vail Resorts destination; official Epic Australia page states 2026/27 Epic Pass holders have access in the 2027 Southern Hemisphere winter season and must use/activate physical Australian access media.,https://www.epicpass.com/regions/australia.aspx
Epic Pass,2026-2027,Heavenly,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Hidden Valley Resort (PA),,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Hidden Valley Ski Area (MO),,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Hotham,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Australian Vail Resorts destination; official Epic Australia page states 2026/27 Epic Pass holders have access in the 2027 Southern Hemisphere winter season and must use/activate physical Australian access media.,https://www.epicpass.com/regions/australia.aspx
Epic Pass,2026-2027,Hunter Mountain,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Jack Frost,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Keystone,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Kirkwood,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Laurel Mountain,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Liberty Mountain Resort,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Mad River Mountain,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Mount Snow,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Mount Sunapee,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Mt Brighton,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Northstar California,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Okemo,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Paoli Peaks,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Park City Mountain,,full_pass,,true,false,false,Epic Pass lists Park City among unlimited-access resorts for the 2026-2027 season; Epic Pass itself has no restricted peak dates.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Perisher,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Australian Vail Resorts destination; official Epic Australia page states 2026/27 Epic Pass holders have access in the 2027 Southern Hemisphere winter season and must use/activate physical Australian access media.,https://www.epicpass.com/regions/australia.aspx
Epic Pass,2026-2027,Roundtop Mountain Resort,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Rusutsu Resort,,full_pass,5,false,false,false,Official Epic Rusutsu page states Epic Pass holders receive five unrestricted consecutive days with no restricted peak dates; ticket-window validation required.,https://www.epicpass.com/regions/japan/rusutsu-resort.aspx
Epic Pass,2026-2027,Seven Springs,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Silvretta Montafon,,full_pass,5,false,false,false,Official Epic partner page states Epic Pass includes 5 consecutive days at Silvretta Montafon in Austria.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,Snow Creek,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Stevens Pass,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Stowe,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Sölden,,full_pass,5,false,false,false,Official Epic partner page states Epic Pass includes 5 days at Sölden in Austria.,https://www.epicpass.com/regions/partner-resorts.aspx
Epic Pass,2026-2027,Telluride,,full_pass,7,false,false,false,Official Epic Telluride page states Epic Pass holders receive up to seven days at Telluride; no reservations required; physical Epic Pass card needed for direct-to-lift access.,https://www.epicpass.com/regions/us/rockies/telluride.aspx
Epic Pass,2026-2027,Vail,,full_pass,,true,false,false,Epic Pass lists Vail among unlimited-access resorts for the 2026-2027 season; Epic Pass itself has no restricted peak dates.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
Epic Pass,2026-2027,Whitetail Resort,,full_pass,,true,false,false,Full Epic Pass access modeled as unlimited and unrestricted at this Vail Resorts owned/operated destination for the 2026-2027 season; source page lists the resort among Epic Pass resort destinations. No full Epic Pass restricted peak dates modeled.,https://www.epicpass.com/pass-results/lift-ticket-promotion.aspx
