resort_name,image_url,image_type,image_credit,image_source_url,source_notes
3 Peaks Dolomites,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/tre-cime-dolomiti,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
ABLE Hakuba Goryu Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
APPI Resort,https://www.appi.co.jp/snow-mountain-resort/assets/img/common/logo.svg,logo,Official source: appi.co.jp,https://www.appi.co.jp/snow-mountain-resort/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Afton Alps,https://scene7.vailresorts.com/is/image/vailresorts/20210211_aa_beran_023%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Alpe Cimbra Folgaria Lavarone,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Alpe Lusia – San Pellegrino,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/alpe-lusia-san-pellegrino,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Alpental,https://cdn.sanity.io/images/8ts88bij/summit/4b8d9380734ba35657c986d9a17f55f725c3ebe2-229x60.svg?w=229&h=60&q=70&fit=min&auto=format,logo,Official source: summitatsnoqualmie.com,https://www.summitatsnoqualmie.com/alpental,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Alpine Meadows,https://www.palisadestahoe.com/-/media/shaka_lockups_rgb_small_horizontal_black/shaka_lockups_rgb_alpine_horizontal_black-100x50/shaka_lockups_rgb_primary_horizontal_black-100x50.png?rev=5914f0287fdf4b32afcb5e7c70668a03&h=50&w=100&hash=7F191F99E1C5F55F2C73806C3F5A2826,logo,Official source: Palisades Tahoe,https://www.palisadestahoe.com/,"Updated after review found the prior image was a YETI sponsor/footer logo, not an Alpine Meadows resort logo; official Palisades Tahoe page references this Alpine lockup asset. No image file was downloaded."
Alpine Valley (OH),https://scene7.vailresorts.com/is/image/vailresorts/20210303_AV_Linck--11%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Alta Badia,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/alta-badia,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Alta Ski Area,https://www.alta.com/icons/apple-touch-icon.png,logo,Official source: alta.com,https://www.alta.com/ikon,Chosen from the official resort/operator page in data/resorts.csv (link rel=apple-touch-icon); no image file was downloaded.
Alyeska Resort,"https://static.wixstatic.com/media/407044_f8ba91039a4849579b8fa398a7603449~mv2.jpg/v1/fill/w_205,h_206,q_90,enc_avif,quality_auto/407044_f8ba91039a4849579b8fa398a7603449~mv2.jpg",mountain_photo,Official/authorized press source: Alyeska Resort / REYA Communications,https://www.reyacommunications.com/releases/alyeska-resort-ikon-pass,Authorized REYA Communications release for Alyeska Resort joining Ikon includes this Alyeska Resort winter image and links to an Alyeska press center. No image file was downloaded.
Andermatt-Sedrun-Disentis,https://images.contenthub.dev/u5sjtnkypgsp/cb85fa41f2f1bffc3ac096ed8de03f51/Skifahren%20&%20Snowboarden.jpg?w=630,mountain_photo,Official source: Andermatt+Sedrun+Disentis / Disentis Sedrun,https://www.andermatt-sedrun-disentis.ch/disentis-sedrun/en/pages/skiing-snowboarding,Official Andermatt+Sedrun+Disentis skiing/snowboarding page uses this Open Graph mountain image for the ski area. No image file was downloaded.
Annupuri,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/brand_annupuri_off.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Arabba/Marmolada,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/arabba-marmolada,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Arai Mountain Resort,"https://res.cloudinary.com/jnto/image/upload/w_750,h_750,c_fill,f_auto,fl_lossy,q_auto/v1/media/filer_public/5b/fe/5bfe85a2-5bcf-41b5-bf76-e61f92d045d9/2800_1000_recommen_lotte_elgcic",mountain_photo,Official tourism source: Japan Travel / JNTO,https://www.japan.travel/en/sports/snow/top-recommendations/lotte-arai-resort/,Japan Travel Lotte Arai Resort key image with proper image/jpeg response; replaces a press-release resort-building/base facade image with a more descriptive mountain/snow resort image. No image file was downloaded.
Arapahoe Basin,https://www.arapahoebasin.com/img/abasinlogo.svg,logo,Official source: arapahoebasin.com,https://www.arapahoebasin.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Aspen Highlands,https://www.aspensnowmass.com/-/media/aspen-snowmass/images/footer/partner-links/asc-logo_byaspenone_black.png,logo,Official source: aspensnowmass.com,https://www.aspensnowmass.com/four-mountains/aspen-highlands,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Aspen Mountain,https://www.aspensnowmass.com/-/media/aspen-snowmass/images/footer/partner-links/asc-logo_byaspenone_black.png,logo,Official source: aspensnowmass.com,https://www.aspensnowmass.com/four-mountains/aspen-mountain,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Attitash Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20230107_AT_Molla_003%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Banff Sunshine,https://www.skibanff.com/wp-content/uploads/2025/09/banff-sunshine-logo.svg,logo,Official source: skibanff.com,https://www.skibanff.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Bear Mountain,https://www.bigbearmountainresort.com/-/media/big-bear-mountain-resort-media/brand-assets/logos/2023-bbmr_combo_white-2400x1350.png,logo,Official source: bigbearmountainresort.com,https://www.bigbearmountainresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Beaver Creek,https://scene7.vailresorts.com/is/image/vailresorts/20191122_BC_Bowlin_045%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Big Boulder,https://scene7.vailresorts.com/is/image/vailresorts/20210809_JF_Social_Phase3_ResortPassReduction_Carousel_Frame3_1080x1080%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Big Sky Resort,https://cdn.sanity.io/images/8ts88bij/big-sky/af3b4941f0261c97fb19ab7fb40b65ba4293ab7f-80x100.svg?w=500&fit=min,logo,Official source: bigskyresort.com,https://www.bigskyresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Blackcomb Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20240103_WB_Winton_018%3AEpic-Pass-Home-Page-Hero-Desktop?h=900&resMode=sharp2&w=3840,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/canada.aspx,Official Epic Pass Canada page hero image for Whistler Blackcomb; used for the component mountain row because access and marketing are shared. No image file was downloaded.
Blue Mountain,https://www.bluemountain.ca/-/media/blue-mountain/logos/blue-desktop.svg?h=56&iar=0&w=175&rev=b23a6aa8c90746e1b6aeca4df8fd27b4&hash=864380057930CA9082071EB161740E2B,logo,Official source: bluemountain.ca,https://www.bluemountain.ca/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Blue Mountain Resort,https://www.skibluemt.com/wp-content/uploads/2022/05/white-logo.svg,logo,Official source: skibluemt.com,https://www.skibluemt.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Boston Mills,https://scene7.vailresorts.com/is/image/vailresorts/20181209_BM_Conti_209%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Boyne Mountain,https://cdn.sanity.io/images/ud45da4u/boyne-mountain/66115fb708f8afb2b67beed8bf48742fc6a555c0-161x100.svg?w=500&fit=min,logo,Official source: boynemountain.com,https://www.boynemountain.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Brandywine,https://scene7.vailresorts.com/is/image/vailresorts/20181209_BM_Conti_209%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Breckenridge,https://scene7.vailresorts.com/is/image/vailresorts/20230306_BR_Maguire_002%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Brides-les-Bains,https://www.les3vallees.com/build/front/img/logo-les-3-vallees-white.svg,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Brighton,https://cdn.sanity.io/images/8ts88bij/brighton/a32dbaf9fde9a3e2d53e1f16a44681777f1f1edc-240x60.svg?w=500&fit=min,logo,Official source: brightonresort.com,https://www.brightonresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Buttermilk,https://www.aspensnowmass.com/-/media/aspen-snowmass/images/footer/partner-links/asc-logo_byaspenone_black.png,logo,Official source: aspensnowmass.com,https://www.aspensnowmass.com/four-mountains/buttermilk,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Camelback Resort,https://assets.milestoneinternet.com/peregrine-hospitality-parent/392939-camelback-resort/logos/camelback-resort-logo.svg,logo,Official source: camelbackresort.com,https://www.camelbackresort.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Cervino Ski Paradise,https://www.skilife.ski/wp-content/themes/wequidTheme-child/images/logo.svg,logo,Official source: skilife.ski,https://www.skilife.ski/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Chamonix Mont-Blanc Valley,https://www.datocms-assets.com/146703/1779178527-logo_cmb.png?fit=crop&w=64,logo,Official source: montblancnaturalresort.com,https://www.montblancnaturalresort.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Civetta,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/civetta,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Copper Mountain,http://www.coppercolorado.com/favicon-32x32.png?v=af20e7df4ec9d6aad6f2bd3f23355ce2,logo,Official source: coppercolorado.com,http://www.coppercolorado.com/,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
Coronet Peak,"https://www.nzski.com/media/6774/coronet-peak-brand.jpg?center=0.529126213592233,0.36180904522613067&quality=90&width=1920&height=1080&mode=crop",logo,Official source: coronetpeak.co.nz,https://www.coronetpeak.co.nz/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Cortina d’Ampezzo,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/cortina-dampezzo,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Courchevel,https://www.les3vallees.com/media/download/logo-courchevel-310px-large.png,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Courmayeur Mont Blanc,https://www.skilife.ski/wp-content/themes/wequidTheme-child/images/logo.svg,logo,Official source: skilife.ski,https://www.skilife.ski/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Crans-Montana,https://www.crans-montana.ch/img_up/PHOTO_PR/4ea4dbedc3fdb9dc66f9da2095b9b99e.2023-ski-alpin-patrick-guller-59-800x600.jpg,mountain_photo,Official source: Crans-Montana; Patrick Guller filename credit,https://www.crans-montana.ch/en/ski,Official Crans-Montana Ski & Snowboard page uses this Open Graph ski-area image. No image file was downloaded.
Crested Butte,https://scene7.vailresorts.com/is/image/vailresorts/20200114_CB_Kozlowski_002%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Crotched Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20210127_CR_Thoman_051%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Crystal Mountain Resort,https://www.crystalmountainresort.com/-/media/widen/crystal-mountain/winter/2019-02-11-cm-jacobs-colton-9885-970x353-web-assets-jpg.jpg?hash=086CCFC64630BD0901E4CF3C13FD0782&rev=895a754e638a46bcbc33d46750e67680&w=480,mountain_photo,Official source: Crystal Mountain Resort / Colton Jacobs filename credit,https://www.crystalmountainresort.com/things-to-do/activities/ski-and-snowboarding,Official Crystal Mountain skiing/snowboarding activity page includes this powder-skiing image associated with the resort. No image file was downloaded.
Cypress Mountain,https://cdn.sanity.io/images/8ts88bij/cypress/8511faecb92bbf1d3c5891b3ff96f31a368c86d8-181x70.svg?w=500&fit=min,logo,Official source: cypressmountain.com,https://www.cypressmountain.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Deer Valley Resort,https://www.deervalley.com/-/media/deer-valley/logos/dv-desktop.svg?h=56&iar=0&w=148&rev=19260f3717a8441a8baf38cb7f81ca5c&hash=4EF5F04AA0C090D1553926BE13169485,logo,Official source: deervalley.com,https://www.deervalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Dollar Mountain,https://www.sunvalley.com/images/favicons/apple-touch-icon.png,logo,Official source: sunvalley.com,https://www.sunvalley.com/tickets-passes/ikon-pass/,Chosen from the official resort/operator page in data/resorts.csv (link rel=apple-touch-icon); no image file was downloaded.
Eldora Mountain Resort,http://www.eldora.com/favicon-32x32.png?v=3edf01278a21a5ff42c5177bf847ba25,logo,Official source: eldora.com,http://www.eldora.com/,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
Falls Creek,https://www.skifalls.com.au/Portals/_default/Skins/FallsCreek/dist/images/logo-eap.svg,logo,Official source: skifalls.com.au,https://www.skifalls.com.au/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Fernie Alpine Resort,https://skifernie.com/wp-content/themes/kallyas-child/img/logo-fernie28x24.png,logo,Official source: skifernie.com,https://skifernie.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Folgarida-Marilleva,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Furano Ski Resort,https://www.princehotels.co.jp/ski/furano/winter/powderdream/img/logo.svg,logo,Official source: princehotels.co.jp,https://www.princehotels.co.jp/ski/furano/winter/powderdream/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Giant Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Grand Hirafu,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/brand_grandhirafu_off.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Grandvalira Resorts Andorra,https://www.grandvalira.com/themes/custom/grandvalira/logo.svg,logo,Official source: grandvalira.com,https://www.grandvalira.com/en?season-switch,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Granite Peak Resort,https://www.skigranitepeak.com/themes/custom/granitepeak/logo.svg,logo,Official source: skigranitepeak.com,https://www.skigranitepeak.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Hakuba 47 Winter Sports Park,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Cortina Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Happo-one Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Iwatake Snow Field,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Norikura Onsen Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hanazano,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/logo.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hasuike Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Heavenly,https://scene7.vailresorts.com/is/image/vailresorts/20230213_HV_McColm_019%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/west.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Hidden Valley Resort (PA),https://scene7.vailresorts.com/is/image/vailresorts/20190124_HVPA_Lewis_001%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
