resort_name,source_name,source_type,snow_report_url,queried_url,queried_at,data_found,notes
Mammoth Mountain,Mammoth Mountain official conditions,official_resort,https://www.mammothmountain.com/on-the-mountain,https://www.mammothmountain.com/on-the-mountain,2026-05-26T03:15:14Z,false,Official Mammoth conditions page was queried first; search result confirms official conditions/weather/road/trail/lift report but did not expose current base-depth values in crawlable text for this research pass.
Mammoth Mountain,Skiresort.info Mammoth Mountain snow report,aggregator,https://www.skiresort.info/ski-resort/mammoth-mountain/snow-report/,https://www.skiresort.info/ski-resort/mammoth-mountain/snow-report/,2026-05-26T03:15:14Z,true,"Aggregator used because official page did not expose crawlable numeric depth. Search result reports updated 2026-05-22, base 71 cm at 2424 m, mountain 292 cm at 3369 m, spring snow, last snowfall 2026-04-25."
Breckenridge,Breckenridge official snow and weather report,official_resort,https://www.breckenridge.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.breckenridge.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Breckenridge snow/weather page queried; current crawl/search text confirms forecast/snow/temperature reporting but did not expose a current base-depth value in this pass.
Vail,Vail official snow and weather report,official_resort,https://www.vail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.vail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Vail snow/weather report URL recorded for follow-up; numeric current base-depth was not available in current searched/crawled text in this pass.
Park City Mountain,Park City official snow and weather report,official_resort,https://www.parkcitymountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.parkcitymountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Park City/Vail Resorts snow-weather page recorded for follow-up; search pass did not expose current numeric base-depth values.
Park City Mountain,Skiresort.info Park City snow report,aggregator,https://www.skiresort.info/ski-holiday-in/park-city-549/snow-report/,https://www.skiresort.info/ski-holiday-in/park-city-549/snow-report/,2026-05-26T03:15:14Z,true,"Aggregator search result reports 180 cm base at 2073 m, but crawl age was two months; treat as stale and do not create current observation without direct fresh confirmation."
Palisades Tahoe,Palisades Tahoe official snow reporting methodology,official_resort,https://blog.palisadestahoe.com/operations/how-we-report-snow/,https://blog.palisadestahoe.com/operations/how-we-report-snow/,2026-05-26T03:15:14Z,false,"Official methodology page queried. It explains base-depth reporting at the base and about 8,000 ft at each mountain, including lower mountain snow plot at Patrol Shack 6,200 ft. It is not a current snow-depth report."
Deer Valley Resort,Deer Valley official conditions,official_resort,https://www.deervalley.com/mountain-report,https://www.deervalley.com/mountain-report,2026-05-26T03:15:14Z,false,Official mountain-report URL recorded for follow-up; current search pass did not expose numeric base-depth values.
Deer Valley Resort,Skiresort.info Deer Valley snow report,aggregator,https://www.skiresort.info/ski-resort/deer-valley/snow-report/,https://www.skiresort.info/ski-resort/deer-valley/snow-report/,2026-05-26T03:15:14Z,false,"Aggregator page queried via search; result showed base field as unavailable/dash at 1984 m, so no usable numeric snow-base observation was recorded."
Steamboat,Steamboat official mountain report,official_resort,https://www.steamboat.com/the-mountain/mountain-report,https://www.steamboat.com/the-mountain/mountain-report,2026-05-26T03:15:14Z,false,Official Steamboat mountain-report URL recorded for follow-up; current search pass did not expose numeric base-depth values.
Steamboat,OpenSnow Steamboat snow report,aggregator,https://opensnow.com/location/steamboat/snow-report,https://opensnow.com/location/steamboat/snow-report,2026-05-26T03:15:14Z,false,"OpenSnow page queried as fallback; search result explicitly says nearby SNOTEL-derived depth is not official resort measurement, so no resort base-depth observation was recorded."
Jackson Hole Mountain Resort,Jackson Hole official mountain report,official_resort,https://www.jacksonhole.com/mountain-report,https://www.jacksonhole.com/mountain-report,2026-05-26T03:50:01Z,true,"Official mountain report was in summer-operations context and did not expose a current ski-season base-depth number. Under project policy, source-supported off-season/closed status is usable as a normalized 0-inch current base observation until winter snow reporting resumes."
Big Sky Resort,Big Sky official current conditions,official_resort,https://www.bigskyresort.com/current-conditions,https://www.bigskyresort.com/current-conditions,2026-05-26T03:15:14Z,false,Official current conditions page queried; search text confirms weather/snow/lift/trail page but did not expose numeric base depth in this pass.
Big Sky Resort,Big Sky official snow report FAQs,official_resort,https://www.bigskyresort.com/current-conditions/snow-report-faqs,https://www.bigskyresort.com/current-conditions/snow-report-faqs,2026-05-26T03:15:14Z,false,"Official FAQ page queried. It documents five weather stations and that base depth is reported at two snow-stake locations, but it is methodology, not a current base-depth observation."
Alta Ski Area,Alta official weather and snow report,official_resort,https://www.alta.com/weather,https://www.alta.com/weather,2026-05-26T03:15:14Z,true,"Official Alta weather/snow page search result exposed current snow report fields: last update today at 07:00 pm, 12h 0 in, 24h 0 in, storm total 0 in, and current conditions by base/mid/peak. Base-depth value was not clearly exposed on this page result."
Alta Ski Area,Alta official current conditions,official_resort,https://www.alta.com/status,https://www.alta.com/status,2026-05-26T03:15:14Z,true,"Official Alta current conditions search result exposed Snow section with 24 hr 0 in, Base 54 in, Season 321 in, last updated today at 05:00 pm. Interpreted Base 54 as current base depth."
Snowbird,Snowbird official mountain report,official_resort,https://www.snowbird.com/mountain-report/,https://www.snowbird.com/mountain-report/,2026-05-26T03:15:14Z,false,Official Snowbird mountain-report URL recorded for follow-up; search pass did not expose current numeric base-depth values.
Snowbird,Skiresort.info Snowbird snow report,aggregator,https://www.skiresort.info/ski-resort/snowbird/snow-report/,https://www.skiresort.info/ski-resort/snowbird/snow-report/,2026-05-26T03:15:14Z,false,"Aggregator page queried via search; result showed base field unavailable/dash at 2365 m, so no usable numeric observation recorded."
Afton Alps,Afton Alps official snow and weather report,official_resort,https://www.aftonalps.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.aftonalps.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:50:01Z,true,"Official page confirms weather/ski conditions context and source context indicated the resort was closed for the 2025/26 winter season. Under project policy, source-supported closed/off-season status is usable as a normalized 0-inch current base observation when no explicit current numeric snow-base field is exposed."
Alpine Valley (OH),Alpine Valley official snow and weather report,official_resort,https://www.alpinevalleyohio.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.alpinevalleyohio.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,true,"Official page queried via search result. Crawl/search text exposed current snow report metrics including 0 in 24h, 0 in 48h, 0 in 7-day snowfall, 42 in base depth, 102 in current season, updated 2026-02-25 3:17 PM EST; likely stale/off-season final winter report."
Attitash Mountain,Attitash official snow and weather report,official_resort,https://www.attitash.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.attitash.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:50:01Z,true,"Official page exposed a 2026-04-05 closing report and stated the Winter 2025/26 season had concluded. Under project policy, source-supported closed/off-season status is usable as a normalized 0-inch current base observation when no explicit current numeric snow-base field is exposed."
Beaver Creek,Beaver Creek official snow and weather report,official_resort,https://www.beavercreek.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.beavercreek.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,"Official page queried; confirms weather/mountain conditions and forecast context, but current crawl/search text did not expose numeric base-depth fields."
Big Boulder,Jack Frost Big Boulder official snow and weather report,official_resort,https://www.jfbb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.jfbb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official JFBB page opened; confirms weather/ski conditions page for Jack Frost Big Boulder. No current numeric base depth exposed in crawlable text.
Jack Frost,Jack Frost Big Boulder official snow and weather report,official_resort,https://www.jfbb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.jfbb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official JFBB page opened; same official snow/weather report covers Jack Frost and Big Boulder. No current numeric base depth exposed in crawlable text.
Boston Mills,Boston Mills Brandywine official snow and weather report,official_resort,https://www.bmbw.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.bmbw.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official BMBW page opened; confirms Snow & Weather Report page. No current numeric base depth exposed in crawlable text.
Brandywine,Boston Mills Brandywine official snow and weather report,official_resort,https://www.bmbw.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.bmbw.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official BMBW page opened; same official report covers Boston Mills and Brandywine. No current numeric base depth exposed in crawlable text.
Mt Brighton,Mt Brighton official snow and weather report,official_resort,https://www.mtbrighton.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.mtbrighton.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Mad River Mountain,Mad River official snow and weather report,official_resort,https://www.skimadriver.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skimadriver.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Hidden Valley Ski Area (MO),Hidden Valley MO official snow and weather report,official_resort,https://www.hiddenvalleyski.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.hiddenvalleyski.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Snow Creek,Snow Creek official snow and weather report,official_resort,https://www.skisnowcreek.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skisnowcreek.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; confirms Snow & Weather Report link/page. No current numeric base depth exposed in crawlable text.
Paoli Peaks,Paoli Peaks official snow and weather report,official_resort,https://www.paolipeaks.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.paolipeaks.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Wilmot Mountain,Wilmot official snow and weather report,official_resort,https://www.wilmotmountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.wilmotmountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Liberty Mountain Resort,Liberty official snow and weather report,official_resort,https://www.libertymountainresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.libertymountainresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Roundtop Mountain Resort,Roundtop official snow and weather report,official_resort,https://www.skiroundtop.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skiroundtop.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; confirms Snow & Weather Report page. No current numeric base depth exposed in crawlable text.
Whitetail Resort,Whitetail official snow and weather report,official_resort,https://www.skiwhitetail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skiwhitetail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Hidden Valley Resort (PA),Hidden Valley PA official snow and weather report,official_resort,https://www.hiddenvalleyresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.hiddenvalleyresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Laurel Mountain,Laurel Mountain official snow and weather report,official_resort,https://www.laurelmountainski.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.laurelmountainski.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Seven Springs,Seven Springs official snow and weather report,official_resort,https://www.7springs.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.7springs.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; confirms Snow and Weather Report link/page. No current numeric base depth exposed in crawlable text.
Keystone,Keystone official snow and weather report,official_resort,https://www.keystoneresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.keystoneresort.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Crested Butte,Crested Butte official snow and weather report,official_resort,https://www.skicb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skicb.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official URL queried/open attempted in batch; record retained for follow-up because current browse summary did not expose numeric base-depth values.
Heavenly,Heavenly official snow and weather report,official_resort,https://www.skiheavenly.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.skiheavenly.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Northstar California,Northstar official snow and weather report,official_resort,https://www.northstarcalifornia.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.northstarcalifornia.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; confirms Weather Report link/page. No current numeric base depth exposed in crawlable text.
Kirkwood,Kirkwood official snow and weather report,official_resort,https://www.kirkwood.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.kirkwood.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Stevens Pass,Stevens Pass official snow and weather report,official_resort,https://www.stevenspass.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.stevenspass.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official URL opened/queried in batch; current browse summary did not expose numeric base-depth values.
Stowe,Stowe official snow and weather report,official_resort,https://www.stowe.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.stowe.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,false,Official page opened; no current numeric base depth exposed in crawlable text.
Alpental,Summit at Snoqualmie Alpental official mountain report,official_resort,https://www.summitatsnoqualmie.com/alpental/mountain-report,https://www.summitatsnoqualmie.com/alpental/mountain-report,2026-05-26T04:10:00Z,true,"Official Alpental mountain report search result exposed current/closing report values: last updated Monday 07:30 AM, Apr. 13 2026 closing update, Alpental base depth 26 in, Alpental Mid base depth 51 in, Alpental Top base depth 58 in, 0 in snow since 5am/12h/24h/48h."
Palisades Tahoe,Palisades Tahoe official snow and weather dashboard,official_resort,https://www.palisadestahoe.com/mountain-information/snow-weather,https://www.palisadestahoe.com/mountain-information/snow-weather,2026-05-26T04:10:00Z,false,"Official dashboard queried. Static crawl exposes reporting locations and fields for Overnight, 24 Hours, 7 Days, and Base, but did not expose numeric current values in crawlable text."
Palisades Tahoe,Skiresort.info Palisades Tahoe snow report,aggregator,https://www.skiresort.info/ski-resort/palisades-tahoe/snow-report/,https://www.skiresort.info/ski-resort/palisades-tahoe/snow-report/,2026-05-26T04:10:00Z,true,"Aggregator fallback queried; search result indicated current report updated within the last several days and exposed 28 cm mountain depth, but base depth was not visible in snippet. No base-depth observation recorded."
Alpine Meadows,Palisades Tahoe official snow and weather dashboard,official_resort,https://www.palisadestahoe.com/mountain-information/snow-weather,https://www.palisadestahoe.com/mountain-information/snow-weather,2026-05-26T04:10:00Z,false,"Official Palisades Tahoe dashboard includes Alpine Base @ 6,950 ft and Alpine Crest @ 8,643 ft reporting tabs, but static crawl did not expose numeric current snow-depth values."
Aspen Mountain,Aspen Snowmass official snow report,official_resort,https://www.aspensnowmass.com/our-mountains/snow-report,https://www.aspensnowmass.com/our-mountains/snow-report,2026-05-26T04:10:00Z,false,Official Aspen Snowmass snow-report URL queried; current browse/search attempts did not expose crawlable numeric base-depth values for Aspen Mountain.
Aspen Highlands,Aspen Snowmass official snow report,official_resort,https://www.aspensnowmass.com/our-mountains/snow-report,https://www.aspensnowmass.com/our-mountains/snow-report,2026-05-26T04:10:00Z,false,Official Aspen Snowmass snow-report URL queried; current browse/search attempts did not expose crawlable numeric base-depth values for Aspen Highlands.
Buttermilk,Aspen Snowmass official snow report,official_resort,https://www.aspensnowmass.com/our-mountains/snow-report,https://www.aspensnowmass.com/our-mountains/snow-report,2026-05-26T04:10:00Z,false,Official Aspen Snowmass snow-report URL queried; current browse/search attempts did not expose crawlable numeric base-depth values for Buttermilk.
Snowmass,Aspen Snowmass official snow report,official_resort,https://www.aspensnowmass.com/our-mountains/snow-report,https://www.aspensnowmass.com/our-mountains/snow-report,2026-05-26T04:10:00Z,false,Official Aspen Snowmass snow-report URL queried; current browse/search attempts did not expose crawlable numeric base-depth values for Snowmass.
Arapahoe Basin,A-Basin official snow report,official_resort,https://www.arapahoebasin.com/snow-report/,https://www.arapahoebasin.com/snow-report/,2026-05-26T04:10:00Z,true,"Official A-Basin snow report search result exposed 0 in past 24hr, 0 in past 48hr, 0 in base, 0/147 runs, 0/9 lifts, forecast and conditions; current resort appears closed/summer operations."
Copper Mountain,Copper Mountain official snow report,official_resort,https://www.coppercolorado.com/the-mountain/snow-report/,https://www.coppercolorado.com/the-mountain/snow-report/,2026-05-26T04:10:00Z,false,Official Copper snow-report URL recorded/query attempted; no crawlable numeric base-depth data found in current pass.
Copper Mountain,Snow-Online Copper Mountain snow report,aggregator,https://www.snow-online.com/snow-report/ski-resort/copper-mountain.html,https://www.snow-online.com/snow-report/ski-resort/copper-mountain.html,2026-05-26T04:10:00Z,true,"Aggregator fallback exposed upper 61 cm at 3,792 m, lower/base N/A at 2,946 m, last snowfall 2026-04-14, 4/24 lifts and 23/150 trails open in crawled result. No base-depth observation recorded because lower/base was N/A."
Crystal Mountain Resort,Crystal Mountain official mountain report and webcams,official_resort,https://www.crystalmountainresort.com/the-mountain/mountain-report-and-webcams,https://www.crystalmountainresort.com/the-mountain/mountain-report-and-webcams,2026-05-26T04:10:00Z,false,Official Crystal Mountain mountain-report URL/source context queried; search also found official snowmaking page directing users to Mountain Report & Webcams for real-time conditions. No current numeric base depth exposed from official page in crawlable text.
Crystal Mountain Resort,OnTheSnow Crystal Mountain snow report,aggregator,https://www.onthesnow.com/united-states/crystal-mountain-wa/skireport,https://www.onthesnow.com/united-states/crystal-mountain-wa/skireport,2026-05-26T04:10:00Z,true,"Aggregator fallback says resort-sourced report for Apr. 12 had 36 in base, 54 in mid mountain, 67 in summit, 0 in 24h, variable conditions. Stale/off-season but source explicitly says ski conditions are sourced directly from the resort during official season."
Blue Mountain,Blue Mountain official mountain/conditions hub,official_resort,https://www.bluemountain.ca/mountain,https://www.bluemountain.ca/mountain,2026-05-26T04:10:00Z,false,"Official Blue Mountain Ontario mountain hub queried; page describes conditions report, live webcams, operating hours, maps, and mountain stats, but numeric current base depth was not exposed in crawlable text."
Blue Mountain Resort,Blue Mountain Resort PA official snow report/conditions,official_resort,https://www.skibluemt.com/conditions/,https://www.skibluemt.com/conditions/,2026-05-26T04:10:00Z,false,Official Blue Mountain PA conditions URL recorded/query attempted; no current crawlable numeric value found in this pass.
Blue Mountain Resort,OnTheSnow Blue Mountain Resort PA snow report,aggregator,https://www.onthesnow.com/united-states/blue-mountain-ski-area/skireport,https://www.onthesnow.com/united-states/blue-mountain-ski-area/skireport,2026-05-26T04:10:00Z,true,"Aggregator fallback says resort-sourced report for Dec. 29 had 18 in base, 36 in summit, 0 in 24h, machine groomed/packed powder. Very stale/off-season; recorded with caution."
